Team,3PA,2PA,ORB,DRB,STL,TOV,AST,FTA,PF
Cleveland Cavaliers*,41.5,49.3,11.2,34.2,8.2,13.2,28.1,21.9,18.1
Memphis Grizzlies*,37.9,55.5,12.9,34.4,8.9,15.7,28.4,23.3,20.9
Denver Nuggets*,31.9,57.8,11.2,34.5,8,14.3,31,23.3,17.6
Oklahoma City Thunder*,38.8,53.9,10.6,34.2,10.3,11.7,26.9,20.4,19.9
Atlanta Hawks,37.7,54.1,11.9,32.6,9.7,15.5,29.6,23.2,19.1
Chicago Bulls,42,50,10.1,35.8,7.6,14.7,29.1,19.7,17.6
Indiana Pacers*,35.8,53.6,9.2,32.7,8.5,13.2,29.2,21.6,18.7
Boston Celtics*,48.2,41.8,11.4,33.9,7.2,11.9,26.1,19.1,15.9
New York Knicks*,34.1,55.1,10.9,31.8,8.2,13.3,27.5,20.7,17.2
Sacramento Kings,35.2,54.9,11,33.2,7.6,13.3,26.5,21.2,18.9
Milwaukee Bucks*,36.6,49.7,8.2,35.1,7.3,13.4,25.5,23.1,17.9
Detroit Pistons*,35.4,54.4,11.4,33.4,8,14.9,26.4,22.3,20.7
Minnesota Timberwolves*,39.9,47.7,11.1,33.2,8,14.5,26.1,21.8,18.3
Houston Rockets*,35.8,57.6,14.6,33.8,8.4,13.9,23.3,22.6,19
Dallas Mavericks,34.2,53.6,10.1,33,7.8,14,25.2,23.1,17.8
San Antonio Spurs,39.6,50.2,10.9,32.7,8.2,13.9,28.6,21,16.6
Golden State Warriors*,42.4,48,12.5,32.8,9.4,14,29.1,22.1,19.2
Phoenix Suns,38,48.3,9.5,32.9,7.2,14.1,27.8,20.8,17.9
Los Angeles Lakers*,36.4,49.1,9.7,32.8,7.7,14,26,23.2,17.3
Los Angeles Clippers*,33.4,52.9,10.3,33.5,9.4,14.9,25.2,21.7,18.3
Utah Jazz,39.8,48.8,12,33.4,6.8,17.2,25.5,22.4,18.9
Toronto Raptors,34,57,12.6,32.5,8.1,15.3,28.5,21.1,21.2
Portland Trail Blazers,37.7,52.5,13.4,31.4,8.3,16,23.8,22.2,19
Miami Heat*,37.3,49.7,9.7,33.7,8.1,13.6,26.4,20.2,15.5
New Orleans Pelicans,34.6,55.2,12.1,31.5,8.5,14.6,25.8,21.9,18.3
Philadelphia 76ers,37.2,50.2,10.4,29.4,9.2,13.6,23.2,22.5,19
Washington Wizards,39.1,50.7,10.6,33.1,7.6,15.6,25.1,20.6,19.7
Orlando Magic*,35.3,50.5,11.1,30.7,8.9,14.2,23,23,20.1
Charlotte Hornets,38.3,50.8,12.2,33,7.4,15.5,24.3,19.8,18.7
Brooklyn Nets,39.4,46.7,10.9,30.4,7.8,15.2,25.2,20.7,20.7
